name,place_id,business_status,types,lat,lng
kinder El carrizal nº 2,ChIJ1zu9q4GZb48RsdDR4X8p5ns,OPERATIONAL,"point_of_interest,establishment",14.1022818,-87.2395011
Kinder Norma Funez,ChIJ9Sgi_XSYb48R2-SrtysldU4,OPERATIONAL,"school,point_of_interest,establishment",14.1097501,-87.2245516
Kinder Hildergard,ChIJz7wXtpWib48RqGT5J_vFoqQ,OPERATIONAL,"school,point_of_interest,establishment",14.1096889,-87.20574289999999
Institito Hildegard,ChIJh-jMTJSib48RHzXuuTf6SkI,OPERATIONAL,"school,point_of_interest,establishment",14.1101515,-87.2054182
El Materno todo para bebés y abuelitos El Centro 1,ChIJvWK3qyKjb48R_QNaWz-gEyk,OPERATIONAL,"clothing_store,store,point_of_interest,establishment",14.1069165,-87.20470929999999
Jardin de niños juan almendares,ChIJwy4auIKjb48Rfnb4NkcDwvc,OPERATIONAL,"school,point_of_interest,establishment",14.1091064,-87.1900929
Unicef Honduras,ChIJPVpQatyib48RL6g99HWNhRU,OPERATIONAL,"point_of_interest,establishment",14.102434,-87.1889356
Escuela,ChIJ7VWif6ujb48Rcn2f_5dRWe4,OPERATIONAL,"school,point_of_interest,establishment",14.1073888,-87.1890305
CasaTegus,ChIJ5wSeeQCjb48RLk4TSRvxSiw,OPERATIONAL,"school,point_of_interest,establishment",14.1059824,-87.19517429999999
Jardin de Niños Y Niñas,ChIJE65nR2ajb48RpjTe0s6iu1Y,OPERATIONAL,"school,point_of_interest,establishment",14.1104961,-87.1509438
Kinder de niños Alejandrina Bermudes,ChIJeV5EBjeZb48RLWocNUrJicA,OPERATIONAL,"school,point_of_interest,establishment",14.1121852,-87.2417287
Centro de desarrollo Santa Mónica,ChIJW21rUgOZb48REqG3RatkUsI,OPERATIONAL,"point_of_interest,establishment",14.1134188,-87.234934
"Centro Infantil Santa Mónica, ACOES",ChIJITV0H9mZb48Rh6_ZswyfgAs,OPERATIONAL,"school,point_of_interest,establishment",14.1137531,-87.2315912
Kinder de Niños de Jesús,ChIJe979G52Zb48R34NnYuBiGWI,OPERATIONAL,"school,point_of_interest,establishment",14.1126636,-87.23756449999999
Jardín de Niños Mundo Maravilloso,ChIJG4iXrHSjb48Ru0p7HXU3nEs,OPERATIONAL,"school,point_of_interest,establishment",14.1131685,-87.21040459999999
Kinder Amigos De America,ChIJQ7nJHOyib48R1FH2qSN3zN4,OPERATIONAL,"school,point_of_interest,establishment",14.1134134,-87.1979465
"Jardín de Niños ""San Vicente de Paúl""",ChIJ50AFk-ejb48RXC5FjIUUT-A,OPERATIONAL,"school,point_of_interest,establishment",14.1145296,-87.20147109999999
Anexo Nashville Pre School #3,ChIJb9hyKa6jb48RHvLLAt0hYoI,OPERATIONAL,"school,point_of_interest,establishment",14.1169451,-87.1996911
Chiquitines Daycare,ChIJA4hWHGujb48R1ix6t7aKUfM,OPERATIONAL,"point_of_interest,establishment",14.1179837,-87.22141690000001
Kindergarten Cerro Grande,ChIJmYAzq3eYb48ROCBlPgYoAZc,OPERATIONAL,"school,point_of_interest,establishment",14.1161706,-87.22426709999999
Pagoda School Children,ChIJJYvgwHmYb48RsCnJHJOmSuE,OPERATIONAL,"school,point_of_interest,establishment",14.1203135,-87.2255244
CCEPREB Abejitas del Carmen,ChIJRzncimSjb48RuD2BCMhdKM4,OPERATIONAL,"school,point_of_interest,establishment",14.1197545,-87.188886
CEP Marina Tercero Gómez,ChIJPVtLTZGZb48RH-EfttNFu40,OPERATIONAL,"school,point_of_interest,establishment",14.1243198,-87.229826
La. Casa del sabueso,ChIJnfmmbgCXb48RjncTyp0akSQ,OPERATIONAL,"point_of_interest,establishment",14.013222,-87.230018
School October 3,ChIJ-bJirba9b48RNCTQZW2VP_A,OPERATIONAL,"primary_school,school,point_of_interest,establishment",14.0197183,-87.1879684
Centroamerican Bilingual School,ChIJAbYweS-jb48R412TBuNKeXA,OPERATIONAL,"point_of_interest,establishment",14.0388081,-87.2312982
Parque infantil,ChIJD5nQJr-Xb48Rb77uRywm1wE,OPERATIONAL,"point_of_interest,establishment",14.0387728,-87.22805129999999
CEPB José Rivera Paz,ChIJ7z8IbAC9b48RzAxkO9PfiuA,OPERATIONAL,"school,point_of_interest,establishment",14.0392464,-87.1678709
4Paws,ChIJu-GIXzKXb48R8mQAHz7mPPU,OPERATIONAL,"point_of_interest,establishment",14.0413758,-87.2385176
Jardin De Niños Jesus Aguilar Paz,ChIJu_uveHS9b48R-GiZtCtIiCY,OPERATIONAL,"school,point_of_interest,establishment",14.0433971,-87.2049042
Shadai school,ChIJ8ShdfAC9b48R1AhhrzZ3tUA,OPERATIONAL,"school,point_of_interest,establishment",14.033695,-87.2059774
La Estancia School,ChIJy2R8G72Xb48R88Hb_zVVfCE,OPERATIONAL,"point_of_interest,establishment",14.0584112,-87.24918679999999
Oleander School,ChIJFcoh8--8b48Rxoy7kLivcfg,OPERATIONAL,"school,point_of_interest,establishment",14.050265,-87.1717816
ESCUELA WESTMONT,ChIJ-4UjbzG9b48RwwOAt-TE69Q,OPERATIONAL,"school,point_of_interest,establishment",14.0506892,-87.196011
CEPB María Mercedes Sierra,ChIJL1YVZMC8b48R9QUyZkR4omk,OPERATIONAL,"school,point_of_interest,establishment",14.0627296,-87.163161
Escuela Miguel Morazán,ChIJYTVmhkGXb48RcsAov6yxQo0,OPERATIONAL,"school,point_of_interest,establishment",14.0672079,-87.28370939999999
Eagles Nest,ChIJP34vWlO9b48RtvuYpWYW-t4,OPERATIONAL,"school,point_of_interest,establishment",14.0638523,-87.20419489999999
Escuela Mixta Guaymuras,ChIJAVrTcdy8b48R7ZLYwU6Ne1Y,OPERATIONAL,"school,point_of_interest,establishment",14.0655541,-87.17522939999999
Escuela Little Brains Nursery & Preschool,ChIJQW3_b6C9b48RLlulF5o9_vA,OPERATIONAL,"school,point_of_interest,establishment",14.065049,-87.1715002
CEPBG NUEVA JERUSALEN,ChIJ69OSyj69b48RECjGCItM9jg,OPERATIONAL,"school,point_of_interest,establishment",14.065049,-87.1715002
PREBASICA MARY F. FLORES,ChIJQxcpwaO9b48RMws-DBR27RE,OPERATIONAL,"school,point_of_interest,establishment",14.065049,-87.1715002
Kinder 19 de Septiembre,ChIJi-2Ewu-Xb48RosCJ1Os48Cw,OPERATIONAL,"primary_school,school,point_of_interest,establishment",14.0716558,-87.23432299999999
CEPBG FLOR DEL CAMPO,ChIJkfv8eUWXb48R-b0g46xwN1g,OPERATIONAL,"school,point_of_interest,establishment",14.0715011,-87.2226211
ITGIN SCHOOL,ChIJAQAAsFm9b48ROeN3Dh-lZno,OPERATIONAL,"secondary_school,school,point_of_interest,establishment",14.0692898,-87.21714519999999
Kinder Rosa Elena De Lobo,ChIJTc2Ht_OXb48RfYl9Z02Fm_8,OPERATIONAL,"school,point_of_interest,establishment",14.0765109,-87.2383289
Escuela Reino de Los Países Bajos,ChIJO-2PXDq9b48RXR9d38IjXtE,OPERATIONAL,"primary_school,school,point_of_interest,establishment",14.0705714,-87.1951667
Liceo Nuevo Siglo,ChIJL5EE9Bq9b48RdIP--TqLvu0,OPERATIONAL,"school,point_of_interest,establishment",14.0728837,-87.1703734
Jardin De Niños Los Laureles,ChIJO3QtQQ-Xb48R1CgJJSM8lLQ,OPERATIONAL,"school,point_of_interest,establishment",14.0736767,-87.2304834
CEPBG ELENA AMADOR,ChIJoWR-AUyXb48R67ZA-72K78M,OPERATIONAL,"school,point_of_interest,establishment",14.0807907,-87.22870379999999
Escuela Los Corderito De Dios,ChIJKd7aweSXb48RnpvlI4LtPQo,OPERATIONAL,"school,point_of_interest,establishment",14.0712843,-87.2285067
Centro Educativo Príncipe de Asturias,ChIJTZwEGfyXb48R5djksf_VDYE,OPERATIONAL,"point_of_interest,establishment",14.0779265,-87.22602700000002
"The Doghouse hn, Tegucigalpa, Honduras",ChIJW0W4_gq9b48RG-tI4Agkrt4,OPERATIONAL,"point_of_interest,establishment",14.0792497,-87.1957876
Jardín de Niños Amílcar Rivera Calderón,ChIJR32CfSq9b48Ryc36Yn_UcI8,OPERATIONAL,"school,point_of_interest,establishment",14.0808337,-87.1826358
ESCUELA ELLIOTT DOVER,ChIJvaeGd4uXb48RxqX9zBZlbKw,OPERATIONAL,"school,point_of_interest,establishment",14.0794526,-87.24433230000001
Eagle Wings School Humuya,ChIJDbitscqib48R0FuivRDCFS4,OPERATIONAL,"school,point_of_interest,establishment",14.0845269,-87.20139970000001
Better Children School,ChIJRz8ApGe9b48RStVZjkNCRD4,OPERATIONAL,"school,point_of_interest,establishment",14.0839813,-87.19371989999999
Kínder Roberto Acosta,ChIJFxwJtc-8b48Rj-FjCwY1JFw,OPERATIONAL,"school,point_of_interest,establishment",14.0748565,-87.17093489999999
Jardin de Niños Lourdes Monserrat N°2,ChIJx_mWF2ajb48RgHlu8Kw-L_4,OPERATIONAL,"school,point_of_interest,establishment",14.0882885,-87.2167991
Mascota,ChIJ95rLluKlb48RloRqB42z800,OPERATIONAL,"park,restaurant,food,point_of_interest,establishment",14.0853835,-87.205303
Escuela experimental unah,ChIJ2Z-5ORmjb48RkY0HcvN4LrE,OPERATIONAL,"school,point_of_interest,establishment",14.0863131,-87.1669107
Basic Education Center Americas,ChIJyWFO8yGYb48Ra_l5_fNP13Q,OPERATIONAL,"school,point_of_interest,establishment",14.0897762,-87.243162
Escuela honduras,ChIJuUWcIdyZb48RESenIWU62Jw,OPERATIONAL,"point_of_interest,establishment",14.0964955,-87.254128
ELEMENTARY SCHOOL REPUBLIC OF HONDURAS NO. 2,ChIJAQAAEDCYb48RpHMDnsq_aSY,OPERATIONAL,"school,point_of_interest,establishment",14.0956668,-87.25247019999999
"Jardín Escuela e Instituto Evangélico ""Gran Estrella""",ChIJQ6tlrDyYb48R6p_SkueEJWw,OPERATIONAL,"school,point_of_interest,establishment",14.096318,-87.2465326
Centro Educativo Peniel,ChIJY0hoGReZb48Rv2q3HpLl8wM,OPERATIONAL,"school,point_of_interest,establishment",14.0982945,-87.23028339999999
Pet Haus,ChIJ-SVk6Bejb48RkjMDnIegSws,OPERATIONAL,"veterinary_care,point_of_interest,establishment",14.0915959,-87.1951991
CEPBG Saúl Zelaya Jiménez,ChIJxdqK0ACjb48RPggkZkifQng,OPERATIONAL,"school,point_of_interest,establishment",14.0981975,-87.1651639
Beginnings Christian Academy,ChIJ-3hXpU2jb48RNTuc6Xwv28w,OPERATIONAL,"school,point_of_interest,establishment",14.0869224,-87.1536472
Mi Pequeño Principiante School,ChIJA6pXWACZb48R52RFJrWdf1M,OPERATIONAL,"secondary_school,school,point_of_interest,establishment",14.1006786,-87.251544
Centro de Educación Prebasica Marco Tulio Cruz No. 1,ChIJ84is9BaZb48RF4WPnXYhOZE,OPERATIONAL,"school,point_of_interest,establishment",14.0996189,-87.2350991
"Jardín y Escuela Unión, Esfuerzo y Democracia",ChIJxbvBtxGYb48R2sssumv9JCc,OPERATIONAL,"school,point_of_interest,establishment",14.0993575,-87.23329749999999
C.E.P.B.G Norma Regina Gaborit de Callejas,ChIJkx63k-mZb48RusGDezXqpNo,OPERATIONAL,"school,point_of_interest,establishment",14.1021709,-87.2334369
Arco Iris School,ChIJr3RYmwSYb48RlUl0R_yZDRo,OPERATIONAL,"school,point_of_interest,establishment",14.0906691,-87.2299613
C.E.P.B. José Maria Sandoval,ChIJL0rEtmCZb48Rzqd_6JB4jBI,OPERATIONAL,"school,point_of_interest,establishment",14.1006663,-87.2223178
Centro de Educación Prebásica Gubernamental Nacional,ChIJSbaOyKajb48RFHQXTHsrJTw,OPERATIONAL,"school,point_of_interest,establishment",14.1011919,-87.2079459
CEPBG Nacional,ChIJrRVUiTWjb48RzLh7cyokaw8,OPERATIONAL,"school,point_of_interest,establishment",14.1017301,-87.2077685
"Escuela de Niñas ""República de Argentina""",ChIJIU11naGjb48R6C1D6nCB0Yk,OPERATIONAL,"school,point_of_interest,establishment",14.0978589,-87.20939349999999
Centro Educativo Municipal Arco Iris,ChIJ6wDFiyOjb48RqH5UTmZwq7E,OPERATIONAL,"school,point_of_interest,establishment",14.1014473,-87.1755833
CEPBU GENERACIÓN 2000,ChIJxds63DKZb48RuTpB-tnCBP8,OPERATIONAL,"school,point_of_interest,establishment",14.1046759,-87.2562134
Jardín de Niños Vista Hermosa,ChIJqQDqt8SZb48R63dpnc9nc9I,OPERATIONAL,"school,point_of_interest,establishment",14.103986,-87.2436336
PREBASICA MARY F. FLORES,ChIJsV0-lFmZb48ROMCxcd46_EA,OPERATIONAL,"school,point_of_interest,establishment",14.1054956,-87.23269789999999
Centro Educativo No Gubernamental Jesucristo Reina,ChIJOU-DZwCZb48ReeTq50TSTcQ,OPERATIONAL,"school,point_of_interest,establishment",14.1019327,-87.2306528
Centro Municipal San Isidro,ChIJ7UXSQ8Ojb48RzDkUM-ctlBY,OPERATIONAL,"school,point_of_interest,establishment",14.1074335,-87.20933319999999
Aguas Ocaña Christian School,ChIJS6XVvrWjb48R71BgpqkaakU,OPERATIONAL,"point_of_interest,establishment",14.1072864,-87.20672669999999
"Jardin, Escuela e Instituto America",ChIJu-3PV76ib48RiAevrpf_URw,OPERATIONAL,"school,point_of_interest,establishment",14.1043602,-87.2050723
IHCI Bilingual School Anexo,ChIJHzRV-bajb48RbIeutb4nEHU,OPERATIONAL,"school,point_of_interest,establishment",14.1052675,-87.1907061
Kinder Jose Peniel,ChIJd5JvO0-Zb48ReDrYwHccuuY,OPERATIONAL,"school,point_of_interest,establishment",14.1121397,-87.2321249
Escuela Desarrollo Juvenil,ChIJCy9F6W2Yb48RUN3pcO8QO2w,OPERATIONAL,"school,point_of_interest,establishment",14.1124409,-87.2329481
Escuela Nuevos Horizontes,ChIJHZJuY3SYb48ROx4J84Xpqoo,OPERATIONAL,"primary_school,school,point_of_interest,establishment",14.1107098,-87.22631390000001
Jardín de Niños y Escuela Privada Dr. Ramón Rosa,ChIJq2cug5Wib48RYnJiz8dhpzk,OPERATIONAL,"school,point_of_interest,establishment",14.1079314,-87.2048506
Colonia nuevos horizontes,ChIJY_SnFECYb48RguoZftWqCGU,OPERATIONAL,"school,point_of_interest,establishment",14.1088355,-87.2432991
Jardin Enmanuel,ChIJmQ-ti-Kib48RaH441KsYBK8,OPERATIONAL,"school,point_of_interest,establishment",14.1159318,-87.1832276
Cerro Grande School Zone 2,ChIJHas7SnaYb48Rnjp9vEFJ_EY,OPERATIONAL,"school,point_of_interest,establishment",14.1157947,-87.2235195
INSTALACIONES EDUCATODOS,ChIJqUz7OPCib48R7eaijX7gFTc,OPERATIONAL,"school,point_of_interest,establishment",14.1200718,-87.19386349999999
Liceo Mentes Brillantes,ChIJOULX0E-jb48RrE7TLj_bxyA,OPERATIONAL,"school,point_of_interest,establishment",14.120196,-87.1858453
CEPBG Dr. Armando Euceda,ChIJrd2f9RiZb48RXAG4rww24cY,OPERATIONAL,"school,point_of_interest,establishment",14.1348071,-87.2588542
Ciudad del niño Dereck Emmanuel,ChIJYS9Aod27b48RCrjOYX8sruI,OPERATIONAL,"school,point_of_interest,establishment",14.0312101,-87.1347322
Centro de Educación Prebásica y Escuela Dr. Enrique Aguilar Paz,ChIJx5AIiHO9b48R-h5D0hJglUg,OPERATIONAL,"school,point_of_interest,establishment",14.0434655,-87.2051919
loarque Garden,ChIJ21JtI8a9b48Ra5dgtFJ59aQ,OPERATIONAL,"park,point_of_interest,establishment",14.0421102,-87.21021859999999
Kinder José Héctor Pavón,ChIJmdlWqBO9b48RNdgRO0YcUrc,OPERATIONAL,"university,point_of_interest,establishment",14.0526284,-87.1994694
KINDERGARTEN San José de la Peña,ChIJx3NWS2u9b48RUpHWqt4Ce5Q,OPERATIONAL,"school,point_of_interest,establishment",14.0562066,-87.2021353
Kinder Dr. Jorge Roberto Maradiaga,ChIJ6-WoC2i9b48RaORUsm4MpYM,OPERATIONAL,"school,point_of_interest,establishment",14.0596515,-87.21187259999999
Noans Garden,ChIJeYG-RP69b48RYcSSoROGXMc,OPERATIONAL,"point_of_interest,establishment",14.0625948,-87.1878004
Kinder Fuente de Jacob,ChIJ0Vj7boq9b48RmrbY_aw1A5E,OPERATIONAL,"school,point_of_interest,establishment",14.0612622,-87.16140039999999
Jardin San José de la Vega,ChIJhdtRglC9b48Rvr7U00OoKT8,OPERATIONAL,"school,point_of_interest,establishment",14.0640354,-87.1997238
Kinder Mary Flakes de Flores,ChIJqwKFLBa9b48RIfk9wERRhhE,OPERATIONAL,"school,point_of_interest,establishment",14.065049,-87.1715002
Jardín Miriam Judith Gallardo,ChIJ4WuBe8G8b48RUh9dkjn-guM,OPERATIONAL,"school,point_of_interest,establishment",14.0638161,-87.1668814
Jardín de toncoti,ChIJNdvoKgC9b48R9zffTot0O74,OPERATIONAL,"school,point_of_interest,establishment",14.0704986,-87.2118914
John F. Kennedy Elementary School,ChIJcw-_v9i8b48R-n7c8EudEWM,OPERATIONAL,"school,point_of_interest,establishment",14.067365,-87.18058769999999
Parque Infantil Jardines de Miraflores,ChIJlX2v3i-9b48Rtc5KMsZLqok,OPERATIONAL,"point_of_interest,establishment",14.0751614,-87.1923169
Kindergarten Sandra Quiroz Lamb,ChIJtWyrQfeXb48RE6oVEmOA3aQ,OPERATIONAL,"school,point_of_interest,establishment",14.0798215,-87.233059
"Jardín, Escuela E Instituto Evangelico Jehová Nissi",ChIJQXVF5oqXb48RhYBMAH3owas,OPERATIONAL,"school,point_of_interest,establishment",14.0821879,-87.2433391
Jardín de niños Lourdes Monserrat,ChIJY-zP--2jb48RpNfByppTTHI,OPERATIONAL,"school,point_of_interest,establishment",14.0891022,-87.215223
Jardin De Niños Rosinda Mondragon,ChIJqTSlDaiib48Rr86V-zODn_U,OPERATIONAL,"school,point_of_interest,establishment",14.0951788,-87.2209388
"Jardin De Niños ""La Cosecha""",ChIJeV858aWib48RbNezbRHkCek,OPERATIONAL,"school,point_of_interest,establishment",14.0961608,-87.21618319999999
INSTITUTO SANTA MONICA,ChIJd5wOsDujb48RZAfV6GcNtTo,OPERATIONAL,"school,point_of_interest,establishment",14.0987963,-87.16904099999999
"Jardín, Escuela e Instituto ""Senderos de Luz"" teléfono whatsapp 3150-4511",ChIJbzAXmjijb48Rbf7JWE-TtK0,OPERATIONAL,"school,park,point_of_interest,establishment",14.0989698,-87.1627569
infantil Colonia San Miguel Park,ChIJFfwyL7yjb48R3wv6ckmVF1g,OPERATIONAL,"park,point_of_interest,establishment",14.0979097,-87.16321260000001
CEPB Jardín de Sueños,ChIJ8znPSEqZb48RCeAFff2mWxc,OPERATIONAL,"point_of_interest,establishment",14.1003149,-87.2491793
"Jardín de Niños, Rafael Pineda Ponce",ChIJAQAwyCOjb48RhyZBBL6zcy4,OPERATIONAL,"school,point_of_interest,establishment",14.1033797,-87.1759786
Instituto Jarimer,ChIJWVv6A0Sjb48Rnptv-IsHxcY,OPERATIONAL,"school,point_of_interest,establishment",14.1016285,-87.1561593
Kinder Marcelino Pineda,ChIJ_4bgX-Ojb48RkppiSA77xVs,OPERATIONAL,"school,point_of_interest,establishment",14.1078172,-87.1723627
Jardin de Niños Unión y Esfuerzos,ChIJQ3PNv9ijb48RfIlWjDuoY34,OPERATIONAL,"school,point_of_interest,establishment",14.11485,-87.1837235
